H-1	TOT
4.488840E+01	2.044430E+01
4.951350E+01	2.044330E+01
5.500050E+01	2.044230E+01
6.066760E+01	2.044120E+01
6.691860E+01	2.044010E+01
7.381370E+01	2.043890E+01
8.141920E+01	2.043770E+01
8.980840E+01	2.043640E+01
9.975590E+01	2.043480E+01
1.108110E+02	2.043320E+01
1.213720E+02	2.043160E+01
1.329470E+02	2.043000E+01
1.456180E+02	2.042820E+01
1.583870E+02	2.042640E+01
1.734920E+02	2.042440E+01
1.900270E+02	2.042210E+01
2.066910E+02	2.041990E+01
2.264020E+02	2.041730E+01
2.462560E+02	2.041460E+01
2.678500E+02	2.041180E+01
2.913380E+02	2.040880E+01
3.146670E+02	2.040570E+01
3.446750E+02	2.040190E+01
3.775260E+02	2.039760E+01
4.106320E+02	2.039340E+01
4.497910E+02	2.038840E+01
4.926610E+02	2.038290E+01
5.358630E+02	2.037750E+01
5.787990E+02	2.037200E+01
6.429090E+02	2.036390E+01
6.944230E+02	2.035740E+01
7.500270E+02	2.035040E+01
8.331430E+02	2.034000E+01
9.062030E+02	2.033080E+01
9.856690E+02	2.032080E+01
1.072100E+03	2.031000E+01
1.157950E+03	2.029920E+01
1.277260E+03	2.028420E+01
1.369940E+03	2.027260E+01
1.500580E+03	2.025630E+01
1.666790E+03	2.023550E+01
1.800350E+03	2.021880E+01
1.958220E+03	2.019910E+01
2.144860E+03	2.017580E+01
2.349400E+03	2.015020E+01
2.519880E+03	2.012890E+01
2.760050E+03	2.009900E+01
3.044430E+03	2.006350E+01
3.358120E+03	2.002430E+01
3.627190E+03	1.999070E+01
3.917630E+03	1.995450E+01
4.291230E+03	1.990790E+01
4.667540E+03	1.986100E+01
5.112400E+03	1.980550E+01
5.560720E+03	1.974960E+01
6.133680E+03	1.967810E+01
6.625140E+03	1.961680E+01
7.155640E+03	1.955070E+01
7.838030E+03	1.946560E+01
8.585080E+03	1.937250E+01
9.403790E+03	1.927040E+01
1.008610E+04	1.918530E+01
1.037270E+04	1.914960E+01
1.201620E+04	1.897100E+01
1.411720E+04	1.874280E+01
1.610540E+04	1.852670E+01
1.812700E+04	1.830710E+01
1.971660E+04	1.813440E+01
2.013480E+04	1.809430E+01
2.220940E+04	1.789540E+01
2.432740E+04	1.769240E+01
2.646070E+04	1.748790E+01
2.838070E+04	1.730380E+01
3.022670E+04	1.712680E+01
3.526290E+04	1.670070E+01
3.835520E+04	1.643910E+01
4.028220E+04	1.629020E+01
4.537520E+04	1.589660E+01
4.765860E+04	1.572020E+01
5.035270E+04	1.553350E+01
5.538800E+04	1.518470E+01
5.776550E+04	1.502000E+01
6.066700E+04	1.483930E+01
6.545850E+04	1.454090E+01
6.731850E+04	1.442510E+01
7.070000E+04	1.423660E+01
7.582990E+04	1.395070E+01
8.112870E+04	1.365540E+01
8.170090E+04	1.362350E+01
